"";"Variable";"Cuts";"nbclasse"
"1";"AGE";"51";1
"2";"ANC";"14.83333333_32.75";2
"3";"SF_TOT";"1605.03_11721.43";2
"4";"SF_HORS_CDD";"1013.22_11589.32";2
"5";"MT_EP_DISPO";"844_8301.02";2
"6";"ANC_DER_MVT";"9";1
"7";"SF_TOT_M6";"8097.87";1
"8";"SF_HORS_CDD_M6";"7768.65";1
"9";"MT_DECOUVERT";"0_454.9";2
"10";"SF_CDD";"4384.63";1
"11";"SF_CDD_M6";"0.04_269.85_1884.41";3
"12";"NB_MVT_CRE_CDD_M";"0_2_4";3
"13";"NB_MVT_DEB_CDD_M";"3_14";2
"14";"MT_MVT_CRE_CDD_M";"930.14_2339.66";2
"15";"MT_MVT_DEB_CDD_M";"320.79_2222.25";2
"16";"NB_MVT_CRE_CDD_3M";"0_12";2
"17";"NB_MVT_DEB_CDD_3M";"12_31_69";3
"18";"MT_MVT_CRE_CDD_3M";"37.5_6784.17";2
"19";"NB_MVT_CDD_12M";"0_2_363";3
"20";"MOY_NB_MVT_CDD_12M";"8_16";2
"21";"MOY_MVT_CRE_CDD_12M";"1_324_1874_3270";4
"22";"MOY_MVT_DEB_CDD_12M";"42_1246_2064_3482";4
"23";"SF_LVA";"101.81_575.19_1671.37_7623.02";4
"24";"SF_LEP";"7689.27";1
"25";"SF_LVA_M6";"99.31_608.1_1631.36_5848.39";4
"26";"SF_LEP_M6";"7559.5";1
"27";"NB_MVT_CRE_EPL_M";"0";1
"28";"NB_MVT_DEB_EPL_M";"0";1
"29";"MT_MVT_CRE_EPL_M";"13.9";1
"30";"MT_MVT_DEB_EPL_M";"21";1
"31";"MOY_NB_MVT_EPL_12M";"0";1
"32";"MOY_MVT_CRE_EPL_12M";"6_169_767";3
"33";"MOY_MVT_DEB_EPL_12M";"4";1
"34";"EV_SF_TOT";"-1194.94_-130.56_108.95_361.009999999998_1003.19";5
"35";"EV_SF_HORS_CDD";"-17_0.31_19.8899999999999_157.370000000001_810.801660000001";5
"36";"EV_SF_CDD";"-536.91_326.54";2
"37";"NB_MVT_CDD_M";"6_18";2
"38";"NB_MVT_CDD_3M";"0_46_91";3
"39";"MT_MOY_CDD_M";"319.822857142857_1433.8515_2902.3475";3
"40";"EV_SF_LVA";"-18.31_0.32_300";3
"41";"NB_MVT_EPL_M";"0_1";2
"42";"MT_MVT_EPL_M";"13.9_560";2
"43";"MT_MOY_EPL_M";"411.88";1
